,0
0,customer assistance
1,sales
2,reports
3,drafts
4,transfers
5,terminations
6,sick
7,appointment setting
8,database management
9,employee training
10,filing
11,home care
12,instructional design
13,invoice processing
14,logistics
15,sales experience
16,spreadsheets
17,spreadsheet
18,tracking
19,denim
20,china
21,india
22,base layers
23,women's swim
24,board shorts
25,woven shirts
26,t-shirts and sweatshirts
27,graphics
28,printing
29,knits
30,technical performance basketball
31,track jackets
32,design
33,materials
34,planning
35,costing quality
36,all star
37,indonesia
38,turkey
39,us
40,bangladesh
41,prints
42,fleece
43,polo's
44,t- shirts
45,color standards
46,material needs
47,women's
48,accessories
49,state       buyer
50,gross margin reporting
51,discounts
52,billabong
53,hurley
54,volcom
55,ripcurl
56,lost
57,cargo shorts
58,seam placements
59,coats
60,advertisements
61,advertising
62,business planning
63,business solutions
64,clerical
65,color
66,concept
67,delivery
68,driving
69,fashion
70,fast
71,functional
72,illustrator
73,leadership
74,marketing
75,market
76,meetings
77,mentor
78,merchandising
79,excel
80,word
81,developer
82,paint
83,plm
84,profit
85,quality
86,quick
87,reporting
88,research
89,retail
90,rms
91,selling
92,stories
93,strategy
94,teaching
95,tops
96,trade shows
97,surfing
98,yoga
99,skiing
100,hiking
101,running
102,adobe photoshop
103,budget
104,client
105,clients
106,design software
107,facility maintenance
108,inventory
109,multitasking
110,product design
111,quality assurance
112,quality control
113,real-time
114,"cash
    register"
115,computer literate
116,credit
117,customer relations
118,customer satisfaction
119,customer service
120,listening
121,pos
122,problem solver
123,staffing
124,supervisor
125,team player
126,telephone skills
127,microsoft excel
128,motivated teams
129,foster teamwork
130,accounts payable
131,adp
132,balance sheets
133,cash handling
134,cash management
135,closing
136,resolve customer complaints
137,database
138,direction
139,drivers
140,english
141,floor plans
142,leadership skills
143,loss prevention
144,money
145,windows
146,works
147,payroll
148,pick
149,policies
150,fast learner
151,receiving
152,scheduling
153,spanish
154,store manager
155,team player.
156,state      enhance css
157,html
158,including warner bros.
159,disney
160,embroideries
161,line sheets
162,tech packs
163,knit tops
164,bottoms
165,drawing
166,sculpture
167,actionscript
168,adobe
169,photoshop
170,artist
171,art
172,book
173,com
174,corel draw
175,css
176,dreamweaver
177,e-commerce
178,"final cut
pro"
179,flash
180,graphic designer
181,graphic
182,ux
183,http
184,indesign
185,journalist
186,director
187,maya
188,access
189,"microsoft office
suite"
190,powerpoint
191,packaging
192,photography
193,php
194,printers
195,quark express
196,technician
197,trend
198,videographer
199,debit
200,scanners
201,tables
202,enthusiastic
203,friendly
204,and excel
205,sensors
206,reducers
207,sprockets
208,chains
209,replacement
210,encoders
211,tachometers
212,inductive proximity sensors
213,limit switches
214,emergency stop hardware
215,speed control (vfd)
216,pc back planes
217,solenoids
218,float switches
219,pressure switches
220,motor starters
221,motor overloads
222,egress lighting
223,city
224,inc.
225,state
226,including forklifts
227,order pickers
228,administrative support
229,benefits
230,budget and planning
231,budgets
232,coaching
233,special events
234,fsa
235,human resources
236,hr
237,instruction
238,labor relations
239,lesson plans
240,letters
241,personnel
242,pr
243,recruiting
244,san
245,teacher
246,type
247,adobe acrobat
248,aix
249,arcserve
250,as/400
251,as400
252,business process
253,business process improvement
254,change management
255,compaq
256,ca
257,hardware
258,contracts
259,dhcp
260,diagnosis
261,dns
262,documentation
263,email
264,firewall
265,fixed assets
266,funds
267,ghost
268,hp
269,ibm
270,image
271,information security
272,information systems
273,information technology
274,internet connectivity
275,internet explorer
276,itil
277,kix
278,magic
279,managing
280,mcafee
281,mcp
282,office 97
283,outlook 97
284,windows 2000
285,2000
286,98
287,migration
288,modem
289,network security
290,network
291,novell
292,operating system
293,pci
294,processes
295,procurement
296,purchasing
297,racf
298,record keeping
299,router
300,sap
301,sarbanes-oxley
302,sas
303,servers
304,scripting
305,smtp
306,software installation
307,symantec
308,tcp/ip
309,troubleshoot
310,unix system
311,utilities
312,vpn
313,business strategies
314,budget maintenance
315,trim/hardware development
316,print development
317,inventory management  webpdm
318,microsoft office
319,sage
320,award
321,market share
322,model-view-presenter
323,mvp
324,new sales
325,sales consultant
326,sales for
327,solutions
328,retail marketing
329,operations
330,cash
331,exceed
332,inside sales
333,problem-solving
334,sales goals
335,sales team
336,training
337,wireless
338,wireless retail
339,and marketing
340,receptionist
341,reconciliation
342,retail sales
343,sales and
344,a/r
345,collection
346,customer inquiries
347,route sales
348,service center
349,business development
350,closing sales
351,monthly sales
352,ms office
353,sales professional
354,sales targets
355,territory
356,back end
357,data integrity
358,approach
359,agency
360,child care
361,futures
362,mechanical
363,safety
364,cash register
365,strong interpersonal skills
366,microsoft outlook
367,real estate
368,trainer
369,workflow
370,account reconciliation
371,customer service representative
372,dispatching
373,accounting
374,budgeting
375,color codes
376,csc
377,customer service manager
378,edi
379,invoicing
380,liaison
381,maintenance
382,order processing
383,shipping
384,transmissions
385,accounting/bookkeeping
386,bi
387,bi-lingual
388,bookkeeping
389,business intelligence
390,correspondence
391,project management
392,cashier
393,cash registers
394,communication skills
395,time management
396,inventory control
397,italian
398,ms windows
399,oracle
400,fluent in spanish
401,staff development
402,55 wpm
403,visual merchandising
404,accounts receivable
405,administrative
406,billing
407,client databases
408,grant writing
409,public relations
410,phone
411,benchmarking
412,competitive research
413,forecasting
414,google analytics
415,marketing research
416,marketing communications
417,press releases
418,product marketing
419,social media platforms
420,seating
421,cleaning laundry
422,tidying bedrooms
423,dressing
424,capture one
425,steel fabricated component
426,electrical
427,ergonomic issues
428,120
429,hlook up; vlookup
430,moderate macros
431,advanced functions.  access
432,ms word
433,ms powerpoint
434,ms outlook.
435,dnls
436,f-o-a
437,w/b attaching machine
438,5-thread
439,3-thread
440,bar tack
441,dv
442,approval
443,production time
444,real poland
445,czech republic
446,hungary
447,slovak
448,real d
449,kaeppel
450,cnc
451,gujarat
452,costing
453,czech
454,data collection
455,inspection
456,inspect
457,laser
458,macros
459,ms excel
460,ms outlook
461,pivot table
462,pricing
463,requirement
464,supplier selection
465,supply chain
466,supply chain management
467,print
468,inventory levels
469,sell thru
470,recommended
471,fabrication
472,style numeration
473,sourcing managers
474,buyers
475,guidance
476,coordinates
477,progressive discipline
478,boston
479,call center
480,senior management
481,law
482,legal
483,ma
484,performance reviews
485,qa
486,sales and support
487,teamwork
488,trouble shooting
489,vendor management
490,aia
491,alpha
492,analyst
493,brio
494,charts
495,continuous improvement
496,council
497,experiments
498,focus
499,hyperion
500,internal audits
501,iso
502,lean manufacturing
503,manufacturing processes
504,mapper
505,outlook
506,sharepoint
507,pdm
508,improve processes
509,process improvement
510,six sigma
511,spc
512,statistics
513,tableau
514,validation
515,x-ray
516,adobe creative suites-illustrator
517,indesign-cc
518,microsoft office- excel
519,power point
520,lotus notes
521,easy knit
522,detail
523,form
524,style
525,fit
526,graphic application
527,trim
528,sweater sets
529,rompers
530,ladies
531,overseas offices
532,management
533,competition
534,knit downs
535,strike offs
536,label/packaging
537,development
538,candles
539,seasonal products
540,domestics
541,identifying customer needs
542,locating merchandise
543,zoning the area
544,"communicating
          goals"
545,monitoring performance
546,ensuring compliance
547,promotion
548,"approving monetary
       transactions"
549,conducting register audits
550,maintaining front-end keys
551,etc.
552,issues
553,restrooms
554,refunds
555,charges
556,faculty
557,supplies
558,read
559,wrote
560,typewriter
561,dollies
562,weight scales
563,postage machines
564,conveyor belts
565,computerized accounting
566,office communications
567,information processing applications
568,attention to detail
569,banking
570,business writing
571,calculator
572,oral
573,make change
574,customer services
575,"customer
          service"
576,databases
577,faxes
578,hand tools
579,hand trucks
580,hiring
581,internet skills
582,leadership development
583,medical terminology
584,mail
585,office
586,97
587,office administration
588,organizing
589,patient care
590,pen
591,pencil
592,proofreading
593,rapport
594,sales analysis
595,self-starter
596,supervision
597,team-player
598,telecommunications
599,written
600,assistant manager
601,cash receipts
602,interpersonal
603,competitive analysis
604,forms
605,communicator
606,presentations
607,progress
608,reconciling
609,recruitment
610,sales manager
611,strategic plans
612,solid works
613,cad
614,portuguese
615,shipping/receiving
616,clearances
617,certificates
618,production
619,specification
620,bin storage
621,erp
622,matlab
623,production manager
624,proposals
625,qualitative research
626,strategy & planning
627,products
628,exchange guidelines
629,services
630,store hours
631,adobe illustrator
632,basic
633,calibration
634,consulting
635,data entry
636,gis
637,logos
638,mill
639,navy
640,technical assistance
641,threads
642,uv
643,vision
644,product designer
645,prototype
646,prototypes
647,new products
648,cases
649,interior design
650,collections
651,pacs
652,product development
653,testing
654,voice
655,cca
656,magellan
657,promotional
658,engineer
659,illustration
660,pro engineer
661,scanning
662,patroller
663,industrial design
664,product specifications
665,distribution
666,3d models
667,dnr news
668,source magazine
669,timeout
670,complex magazine
671,flaunt
672,stuff magazine
673,vibe
674,trace
675,teen people
676,conferences
677,excellent customer service
678,team building
679,win
680,performance appraisals
681,shopbop
682,and bloomingdales.
683,academic
684,streamline
685,balance
686,competitive
687,grants
688,imaging
689,insurance
690,layout design
691,mentoring
692,microsoft office suite
693,microsoft project
694,publisher
695,peak
696,siemens
697,answering phones
698,visio
699,as set
700,business plan
701,business processes
702,cold calling
703,finance
704,forth
705,latin
706,nursing
707,positioning
708,problem solving
709,producer
710,seminars
711,store management
712,strategic
713,websites
714,ad-hoc reporting
715,such as design
716,product managers
717,sourcing
718,e-commerce site management
719,digital merchandising
720,optimization
721,varying complexities
722,stress testing
723,process flowcharts
724,develop training documentation
725,release notes
726,sd
727,mm
728,wm
729,cleanup
730,sql
731,interpret
732,demand expectations
733,bounce tracking
734,abandon rates
735,citrix
736,cognos
737,crystal reports
738,data analysis
739,data mining
740,direct marketing
741,microstrategy
742,relational databases
743,sap 7.0
744,solaris 2
745,system integration
746,tivoli
747,unix
748,some as400
749,basic computer
750,fax machine
751,exel office
752,windows 7
753,
754,numeric filing
755,organization skills
756,training new employees
757,phone systems
758,routing
759,scales
760,ltl scheduling.
761,electronic mail
