,0
0,art k-12
1,watercolors
2,brushes
3,graphite
4,colored pencil
5,oil pastel
6,cartooning
7,metal repousse'
8,weaving
9,paper mache'
10,sculpture
11,wire work
12,jewelry making
13,publicity
14,instruction
15,students
16,sales
17,purchasing
18,state
19,state                    city
20,advanced problem-solving
21,hollywood
22,photography
23,hand built ceramics
24,claymation
25,computer animation
26,serrigraphy
27,graphic arts
28,drawing
29,
30,proficient in moodle
31,edmoto
32,ibooks
33,teachers
34,parents
35,school officials
36,insurance providers
37,qlab
38,illustrator
39,indesign
40,administrative
41,advertising
42,arts
43,budgeting
44,coaching
45,customer service
46,training employees
47,special events
48,financial
49,food safety
50,hiring
51,inventory
52,inventory control
53,leadership skills
54,lesson plans
55,marketing
56,materials
57,microsoft  office
58,presentations
59,progress
60,quality
61,quality control
62,receiving
63,safety
64,sap
65,shipping
66,supervisor
67,teacher
68,teaching
69,academic
70,critical thinking
71,forms
72,international business
73,latin
74,meetings
75,mentor
76,mentoring
77,psychology
78,therapeutic interventions
79,unique
80,approach
81,art
82,balance
83,basic
84,oral
85,leadership
86,math
87,mathematics
88,powerpoint
89,microsoft word
90,organizational skills
91,painting
92,processes
93,reading
94,research
95,sat
96,scientific
97,staff development
98,structured
99,and motivate students
100,dependable
101,patient
102,support staff
103,word processing programs
104,photoshop
105,mrs. mauer-smith
106,budgets
107,logistics
108,basis
109,budget
110,contracts
111,drivers
112,invoices
113,maintenance
114,operations
115,payroll
116,satisfaction
117,translated
118,accounting
119,buying/procurement
120,database
121,exceed
122,ordering
123,procurement
124,receptionist
125,retail sales
126,accounting and finance
127,and marketing
128,business management
129,change management
130,finance
131,problem solver
132,sales and
133,strong communication skills
134,msm
135,project management
136,human resource management
137,mba
138,training
139,ap style
140,mla style
141,canvas
142,goal setting
143,team building
144,meeting leader
145,microsoft office
146,windows operating systems
147,problem solving
148,project planning
149,public speaking
150,researching
151,scheduling
152,seminars
153,time management
154,websites
155,workshops
156,english
157,letters
158,logic
159,promotion
160,read
161,spanish
162,spanish language
163,strategy
164,tutoring
165,vista
166,research journal databases
167,writing apa style
168,speed writing
169,note-taking
170,oral presentations
171,training and teaching
172,classroom management
173,problem-solving
174,typing
175,powerpoint presentations
176,excel spreadsheet
177,publisher.
178,writing
179,ba
180,creative writing
181,delivery
182,fiction
183,novels
184,poetry
185,short stories
186,speech
187,teaching         	6
188,teaching 6
189,clean
190,transitional housing programs
191,systems
192,social development
193,school administrators
194,community agencies
195,cultural
196,career exploration
197,financial literacy
198,city
199,state     adjunct faculty
200,de
201,md
202,dc
203,va
204,industrial/biotech
205,government
206,military
207,consumables
208,large molecule
209,webinars
210,proof-of-concept
211,lance
212,internal
213,strategic marketing
214,r & d
215,virology
216,telephone
217,email
218,voice-mail
219,post-sales
220,pcr
221,small staff trainings
222,faqs
223,lab safety officer
224,monkey viruses
225,(analysis software)
226,aeration
227,glucose levels
228,gas chromatography
229,protein column chromatography
230,baseball
231,molecular biology
232,cell culture techniques
233,chemistry
234,data analysis
235,dna sequencing
236,scientific writing
237,molecular biology techniques
238,real time pcr
239,rt-pcr
240,sample preparation
241,assay design
242,assay development
243,assay troubleshooting
244,scientific presentations
245,implement
246,counselors
247,including course selection
248,verification
249,bill daws/principal
250,evaluated written assignments
251,e-mails
252,and facsimiles
253,advisement
254,billing
255,coach
256,community health
257,counselor
258,counseling
259,credit
260,crisis intervention
261,crisis management
262,clients
263,educator
264,team lead
265,law
266,legal
267,legal documents
268,director
269,access
270,office manager
271,personnel
272,supervision
273,phone
274,auditing
275,branding
276,business administration
277,c
278,cable
279,consultant
280,client
281,customer relations
282,client liaison
283,direction
284,financial statements
285,image
286,employee management
287,managing
288,market
289,office
290,monitors
291,next
292,page layout
293,public relations
294,repairs
295,retail
296,strategic
297,supervisory
298,user interface design
299,vision
300,web sites
301,adobe
302,com
303,exhibitions
304,excel
305,word
306,website
307,studio exhibitor
308,columbus
309,ohio
310,2001 - 2004
311,studio san guiseppe
312,faculty selected artwork
313,project coordination
314,administrative functions
315,content creation
316,employee relations
317,systems administration
318,internal audit
319,risk management
320,operations support
321,learning mangement system
322,learning technologies
323,technology integration
324,online programs
325,active learner
326,creative problem solving
327,3d
328,alpha
329,animation
330,ai
331,c++
332,client-server
333,codebase
334,content
335,data collection
336,debugging
337,editor
338,features
339,functional
340,game design
341,logging
342,c#
343,navigation
344,developer
345,physics
346,qa
347,real-time
348,servers
349,script
350,telemetry
351,workflow
352,banking
353,oral communication
354,decision making
355,general ledger
356,performance management
357,policies
358,process improvement
359,reporting
360,selling
361,service level agreements
