,0
0,sales software: salesforce.com
1,illustrator
2,html
3,"assistant
manager"
4,customer satisfaction
5,excellent customer service
6,inventory
7,reconciling
8,recruiting
9,sales
10,employee training
11,jira
12,salesforce
13,keynote
14,recruitment  banking
15,sales  budget
16,sql  business development
17,strategic  credit
18,strategic plans  client
19,website  decision-making
20,prepared
21,state      created
22,improved
23,"marketing
 strategy"
24,public relations campaigns
25,articles
26,universities
27,including organization
28,maintenance
29,microsoft office  ttechnology-savvy
30,accounting
31,banking
32,budget
33,business development
34,credit
35,client
36,decision-making
37,documentation
38,due diligence
39,finance
40,financial
41,financial analysis
42,financial statements
43,mandarin
44,marketing  sstrategy
45,marketing
46,market
47,marketing collateral
48,money
49,microsoft office
50,mortgage originator
51,newsletters
52,pos
53,presentations
54,pricing strategy
55,producer
56,project management
57,public relations
58,purchasing
59,real estate
60,recruitment
61,sql
62,strategic
63,strategic plans
64,website
65,programming language: c/c++
66,python
67,matlab
68,r
69,lua
70,unsupervised learning
71,financial forecasting
72,including properties appraisals
73,cash flow analysis
74,asset coverage analysis
75,state
76,microsoft excel
77,microsoft word
78,multi tasking
79,written
80,acquiring
81,building
82,excel
83,succinctly
84,loans
85,train
86,riverside   －   city
87,mortgage
88,and sales
89,mortgage loans
90,clients
91,escrow
92,multi-family
93,sales goals
94,sales meetings
95,accounts and
96,all sales
97,audits
98,basis
99,cash
100,closing
101,coaching
102,consultative sales
103,customer accounts
104,customer service
105,effective sales
106,lending
107,operations
108,operations manager
109,performance management
110,problem resolution
111,receptionist
112,reconcilements
113,retail sales
114,sales activities
115,sales force
116,sales management
117,securities
118,solutions
119,training
120,annuities
121,brokerage
122,top sales
123,account executive
124,field account
125,market share
126,subprime
127,microsoft project
128,word
129,fdcpa
130,fcra
131,ssa
132,dws
133,msp
134,lenderlive
135,lps
136,bart
137,infosource
138,agent desktop
139,early resolution
140,tas
141,fortracs
142,ivault
143,cms
144,vls
145,icat
146,cat
147,ccw
148,spo tool
149,vendorscape
150,control link
151,ms excel
152,powerpoint
153,shortsale
154,collections
155,recovery
156,bankruptcy
157,property preservation
158,analytical
159,problem solving
160,team player
161,goal driven
162,and results oriented.
163,administrative duties
164,call center
165,credit  rrisk
166,credit risk
167,data entry
168,imaging
169,insurance
170,loan documentation
171,mac
172,office
173,quality
174,retail
175,risk analysis
176,shipping
177,switchboard
178,tax returns
179,underwriter
180,underwriting
181,workflow
182,public speaking
183,microeconomics
184,macroeconomics
185,inside hedge funds
186,urban economics
187,multivariable calculus
188,fall 2013
189,spring 2015
190,fall 2015
191,cross cultural management
192,business ethics
193,critical reading: 720
194,cash flow
195,economics
196,equity
197,financial accounting
198,financial modeling
199,financial reports
