,0
0,a+
1,advertising
2,architect
3,army
4,articulate
5,agency
6,budgets
7,business development
8,business solutions
9,calculator
10,call center
11,cisco
12,competitive
13,concept
14,contracts
15,client
16,clients
17,delivery
18,disaster recovery
19,documentation
20,executive management
21,government
22,help desk
23,information technology
24,itil
25,itil v
26,lan
27,lockheed martin
28,mgmt
29,managing
30,marketing
31,market
32,exchange
33,office
34,win
35,win2
36,windows nt server
37,modeling
38,navy
39,neat
40,negotiation
41,network
42,networks
43,new business development
44,new media
45,optimization
46,organizational
47,positioning
48,presenting
49,presentations
50,prime
51,processes
52,profit
53,program management
54,project planning
55,proposals
56,proposal
57,relationship building
58,research
59,rfi
60,rfp
61,sales
62,securities
63,servers
64,six sigma
65,sla
66,sop
67,strategic
68,technical sales
69,desktop support
70,white papers
71,phone
72,upgrades
73,wan
74,coaching
75,cost controls
76,point of sale
77,promotional
78,advertising and marketing
79,business management
80,cooking
81,corporate trainer
82,food processing
83,packaging
84,plating
85,product demos
86,product development
87,retail
88,retail marketing
89,sales programs
90,training manuals
91,budget
92,purchasing
93,financial management
94,food safety
95,incentive programs
96,inventory
97,operations
98,ordering
99,payroll
100,purchasing manager
101,fundraising
102,great attitude
103,illustration
104,marketing plan
105,mentoring
106,photoshop
107,solutions
108,staff training
109,word
110,department managers
111,implemented
112,tested
113,updated database applications
114,promotion
115,sales strategy
116,brand development
117,financial advisory
118,purchases
119,returns
120,voids
121,+11% ipc
122,state
123,indoor soccer
124,excel
125,outlook
126,power point
127,works
128,google
129,sql
130,strategic planning
131,tables
132,troubleshooting
133,65 wpm
134,budget planning
135,content management
136,contract negotiation
137,pricing
138,active learning
139,client relations
140,computer proficiency
141,creative problem solving
142,critical thinking
143,data collection
144,data entry
145,email
146,executive management support
147,filing
148,internet research
149,letters and memos
150,minute taking
151,multi-task management
152,organizational skills
153,scheduling
154,service orientation
155,speaking
156,spreadsheets
157,travel arrangements
158,
159,including warm calling
160,including written proposals
161,when i work
162,including production
163,performance
164,trained
165,customer service
166,streamline
167,cold calling
168,compliance management
169,inventory management
170,inventory levels
171,inventory control
172,logistics
173,mailing
174,marketing strategies
175,process management
176,voip
177,microsoft excel
178,administrators
179,stake-holders
180,deliveries
181,jira
182,customer relations
183,document reports
184,budgeting
185,cross-functional team leadership
186,business analysis
187,access
188,microsoft project
189,organization
190,advanced presentation
191,project coordinator
192,python
193,quality control
194,quality assurance
195,public speaking
196,sap
197,spss
198,oracle         education     may
199,acute care
200,administration
201,benefits
202,interpersonal
203,leadership
204,finance
205,cultured
206,team work.
207,powerpoint
208,wfx
209,stafferlink
210,healthtrust
211,recruiting
212,staffing
213,hiring
214,interviewing
215,compensation
216,policies
217,approved employee preferences
218,and managers' requests.
219,appointment setting
220,art
221,b2b
222,billing
223,business analyst
224,business modeling
225,business operations
226,business process expert
227,business systems
228,call center manager
229,cost accounting
230,customer service expert
231,database administrator
232,e-business director
233,estimating
234,innovation
235,iso
236,team leader
237,meetings
238,2000
239,outside sales
240,pos
241,process control
242,process improvement
243,production management
244,program implementation
245,project management
246,quality
247,reporting
248,supervisor
249,supply chain management
250,teacher
251,illustrator
252,prices
253,availability
254,product uses
255,twitter
256,instagram
257,conferences
258,customer support
259,database
260,special events
261,hazardous waste disposal
262,hazardous waste
263,regulatory compliance
264,problem solving
265,process equipment
266,publications
267,reading
268,shipping
269,teamwork
270,technical support
271,transportation
272,troubleshoot
273,water treatment
274,workshops
275,atm
276,banking
277,brochures
278,counselor
279,credit
280,senior management
281,financial
282,director
283,marketing materials
284,microsoft office applications
285,oracle
286,progress
287,risk assessment
288,scripts
289,statistics
290,supervision
291,telemarketing
292,volunteering
293,etc...).
294,account management
295,accounting
296,big data
297,business administration
298,business consulting
299,customer relationship management
300,client relations development
301,direct marketing
302,law
303,market evaluation
304,messaging
305,enterprise
306,performance reviews
307,performance management
308,proposal writing
309,professor
310,recruitment
311,risk management
312,selling
313,scheme
314,strategic plans
315,underwriting.
316,administrative functions
317,expense reporting
318,focus
319,forecasting
320,insurance
321,team building
322,microsoft office suite
323,negotiating
324,physical therapy
325,primary care
326,quick books
327,safety
328,trend
329,public relations
330,enthusiastic people person
331,advanced problem-solving
332,mulch-tasking  client relations
333,banking: credit decisions
334,credit evaluation
335,buyer
336,buying/procurement
337,sales calls
338,exceptions
339,internet advertising
340,leads
341,incoming calls
342,clerk
343,invoices
344,payments
345,skip tracer
346,bankruptcy
347,marketing plans
348,territory management
349,financial services
350,for sales
351,new hires
352,of sales
353,patent
354,project manager
355,sales force
356,sales staff
357,training
358,with sales
359,digital campaign
360,digital marketing
361,increased sales
362,new products
363,online marketing
364,satisfaction
365,sales goals
366,sales techniques
367,set sales
368,class
369,sales team
370,territory
371,the sales
372,to sales
373,web services
374,award
375,community outreach
376,bpi
377,managing projects
378,ms office
379,sterling
380,team player
381,finisar
382,broadcom
383,macom
384,on semi
385,microchip
386,gcs
387,northrop grumman
388,nxp
389,avago
390,triquint
391,jdsu
392,planning
393,wireless
394,customer reports
395,wafer bumping services
396,foundries
397,amd
398,3com
399,juniper networks
400,customer call reports
401,weekly customer updates
402,quarterly sales meetings
403,baan
404,micron
405,st micro
406,philips
407,ca
408,northwest (hyundai
409,motorola
410,conexant
411,a plus
412,management
413,flextronics)
414,real estate agents
415,cherokee youth lacrosse
416,"2013
member"
417,football team
418,state              skills    agency
419,com
