,0
0,such as liniment
1,g-tube
2,j-tube
3,mobility activity
4,eating percentages
5,alcohol rubs
6,oral hygiene
7,grooming
8,baths
9,including vital signs
10,state
11,united way
12,clients
13,customer service
14,office
15,natural
16,sales
17,state     served fresh
18,picked
19,cashier
20,line cook
21,closing
22,communication skills
23,interpersonal skills
24,customer service skills
25,leadership skills
26,organizational skills
27,fast learner
28,research
29,very friendly
30,adaptable.
31,
32,delivery
33,detail oriented
34,english
35,inventory
36,inventory management
37,logistics
38,producing
39,purchasing
40,quality
41,retail
42,scheduling
43,spanish
44,work-flow
45,cooking
46,standards
47,including cooks
48,bakers
49,flexible temperament
50,gluten free
51,vegan
52,raw
53,paleo
54,kosher
55,halal
56,respectful communication skills
57,team player
58,physically active
59,out-going
60,willingness to learn
61,shows initiative
62,braising
63,sauté
64,balance
65,forklift operator
66,market
67,microsoft excel
68,microsoft word
69,oil
70,organization skills
71,problem solving
72,shipping
73,video editing
74,well organized
75,visual effects
76,adobe premiere
77,credit
78,personnel
79,sales reports
80,tables
81,art
82,costing
83,math
84,payroll
85,reading
86,structured
87,conflict resolution
88,cost control
89,excellent customer service
90,customer service specialist
91,documentation
92,inventory control
93,leadership
94,team leader
95,safety.  fast learner
96,goal driven
97,microsoft office proficient
98,member functions
99,budgeting
100,garnishing
101,based on food
102,labor
103,kitchen staff
104,servers
105,hostesses
106,direct
107,hartmunt handke cmc
108,john johnstone
109,cmc
110,lawrence mcfadden cmc
111,keith coughenour cec
112,alex darvish
113,c
114,ca
115,features
116,platinum
117,publication
118,safety
119,supervisory
120,arts
121,budget
122,customer satisfaction
123,special events
124,meetings
125,pricing
126,profit
127,"quality
          control"
128,quality control
129,recruitment
130,selling
131,abc
132,photoshop
133,basic
134,computer-literate
135,ventura
136,customer relations
137,french
138,general manager
139,hiring
140,internet skills
141,managing
142,excel
143,powerpoint
144,word
145,staffing
146,teaching
147,vc
148,articles
149,budgets
150,computer literate
151,consulting
152,contracts
153,e-commerce
154,facility maintenance
155,government regulations
156,marketing
157,merchandising
158,excel spreadsheets
159,ms office suite
160,outlook
161,windows 7
162,negotiating
163,pos
164,receiving
165,restaurant operations
166,adobe software
167,instruction
168,marketing i
169,works
170,communicator
171,controlling budget
172,designing menus
173,organizational inventory skills
174,management
175,conducting meetings
176,public speaking
177,trainer
178,microsoft (office
179,publisher
180,powerpoint)
181,retail sales
182,agency
183,benchmarking
184,budget development
185,competitive
186,concept
187,consultant
188,consultation
189,clientele
190,client
191,designing
192,direction
193,event planning
194,financial
195,focus
196,forecasting
197,indexing
198,management skills
199,materials
200,newspapers
201,public speaker
202,staff training
203,international sales
204,newspaper
205,san
206,television
207,strong communication skills
208,multi-tasking
209,devoted to sustainability
210,allergen awareness
211,windows 95
212,vista
213,windows 8
214,microsoft office
215,word perfect
216,power point
217,outlook 2013
218,android
219,rbms
220,as400
221,sms800.
222,glass
223,silverware
224,grill
225,fry
226,steam
227,garde manger
228,knife handling
229,equipment use
230,cooler/freezer logs
231,haccp logs
232,schedules
233,bread
234,salad dressings
235,etc.  developed menus
236,selecting
237,orienting
238,training
239,assigning
240,supervising
241,correct patient counts
242,portioning
243,food storage
244,bar and grill
245,deli/coffee/pasty shop
246,family dining facility
247,2 sous chefs
248,stocks
249,developing
250,glassware
251,silver
252,small wares
253,sous chefs
254,developed vendor relations
255,temperature logs
256,banquet functions
257,ordering
258,scheduling 12 employees
259,team member motivation
260,sanitation
261,menu development
262,mcgrath's
263,preparation
264,cleanliness
265,holidays
266,diet plans
267,recipes
268,portions
269,profit margin
270,meat
271,fish
272,poultry
273,walk-in refrigerator
274,soups
275,mise en place
276,food safety
277,delicious fish
278,nutrition
279,creativity
280,team builder
281,marketing strategies
282,ms word
283,recruiting
284,self motivated
285,employee training
286,vendor relations
287,army
288,data base
289,driving
290,government
291,inspection
292,managment
293,weapons
294,next
295,oracle
296,reporting
297,requirement
298,supervising 4
299,telephone
300,training programs
301,upgrades
302,alumni association
303,1996     ithq
304,incorporating various techniques
305,including banquets
306,state      managed budget
307,inspect
308,ma
309,machinery
310,mac os
311,ms excel
312,public relations
313,fundraising
314,fundraisers
315,accounting
316,airfreight delivery
317,departmental performance
318,public   relations
319,data entry
320,fluent in english
321,conversational french
322,access
323,ada compliance
324,auditing
325,computer programming
326,cpr
327,customer   service
328,department of health
329,hr
330,cost accounting
331,pbx
332,policies
333,seminars
334,supervisor
335,kitchen
336,charts
337,directing
338,fashion
339,optimization
340,organizing
341,presentations
342,speaker
343,i.e.  fifo
344,hire
345,haccp usda/fda
346,alaska
347,washington
348,safe practices
349,the shanghai café
350,tai-tung
351,four-seas
352,chili's of westminster
353,crown pacific inn
354,ernst home centers
355,paul's grocery
356,wing luke university
357,shanghai province
358,usntc
359,san diego
360,owner
361,rossellini's 410
362,seattle
363,washington internship-trotter's restaurant
364,chicago
365,haccp
366,usda/fda
367,national restaurant assoc
368,first-aid
369,cpr & aed
370,twic
371,bi
372,business plan development
373,contract negotiations
374,customer service training
375,fast
376,layout
377,marketing plan
378,negotiations
379,organizer
380,performance reviews
381,procurement
382,radio
383,sales forecasting
384,strategic
385,supervision
386,author
387,controller
388,counseling
389,drivers
390,instructor
391,leadership development
392,law
393,local government
394,mentoring
395,quality assurance
396,excellent leadership qualities
397,enthusiastic people person
398,self-driven
399,dedicated.
400,caterease
401,assistant manager
402,front office
403,coding
404,receptionist
405,attention to detail
406,color
407,leadership training
408,director
409,2006
410,2007
411,2009
412,2010
413,2011
414,2012
415,2013
416,seafood night
417,fridge temperatures
418,lunch
419,benefits
420,cash register
421,cpt
422,forms
423,icd-9
424,insurance
425,mainframe
426,medical terminology
427,phone
428,contamination
429,operations
430,chef
431,executive chef
432,maintenance
433,mixing
434,associate
435,front desk
436,satisfaction
437,coaching
438,answering
439,answering phones
440,sales associate
441,food industry
442,cash
443,cash deposits
444,stocking
445,paralegal
446,accounts receivable/payable
447,hearings
448,disseminate
449,mexico
450,archived artisan files
451,musicians
452,titles
453,maintaining shift logs
454,documenting promos
455,imac
456,windows xp
457,microsoft office suite
458,adobe
459,amicus attorney
460,internet resourcing
461,social media:  facebook
462,twitter
463,instagram
464,merchants
465,councilmen
466,mayor of flagstaff
467,flagstaff police department
468,the nau police
469,residence life
470,americorp
471,gatherings
472,the performing
473,history
474,offering menu information
475,pastas
476,wayne
477,motivation
478,banquet
479,prices
480,proper labeling
481,doh
482,ledger
483,money
484,sat
485,sun
486,employee handbooks
487,helped designed kitchen
488,created all menus
489,made all sauces
490,invoice tracking
491,all beverage ordering
492,banking
493,weekly inventory
494,labor cost
495,food cost
496,com
497,italian
498,allergies
499,cash handling
500,oral communication
501,cost analysis
502,operations management
503,presentation skills
504,safety codes
505,health department certified
506,including employee development
507,state        created
508,interviewed
509,hired
510,motivating
511,state        devised
512,nola.com)
513,youth leadership council)
514,quality initiatives
515,state      inventoried food
516,ingredient
517,quantity
518,weights and measures
519,including personnel
520,kitchen management
521,patisserie and confectionery
522,premier
523,inventory levels
524,police
525,fiduciary
526,event/floor planning
527,desktop publishing
528,illustrator
529,some spanish
530,time-management
531,written communication
532,blueprints
533,debit
534,dimensions
535,training employees
536,machinist
537,mechanical
538,mechanic
539,painting
540,peak
541,power tools
542,soldering
543,time management
544,welder
545,welding
546,gastronomic technique
547,development coaching
