,0
0,administrative duties
1,adobe photoshop
2,autocad
3,color
4,data entry
5,digital illustration
6,illustrator
7,inspection
8,insurance
9,interior design
10,materials
11,excel
12,powerpoint
13,microsoft word
14,organizing
15,payroll
16,researching
17,revit
18,basic
19,benefits
20,billing
21,clients
22,excellent customer service
23,customer service
24,forklift
25,hammer
26,hvac
27,inspect
28,inventory
29,team lead
30,multi-tasking
31,pallet jack
32,cameras
33,power tools
34,reading
35,read
36,safety
37,schematics
38,shipping
39,soldering
40,tape measure
41,answer phones
42,phone
43,tv
44,c
45,windows
46,window
47,painting
48,paint
49,plumbing
50,repairs
51,roofing
52,city
53,state
54,usa
55,neighbors
56,state              skills     framing
57,frame
58,machinery
59,office
60,microsoft
61,mac
62,apple
63,works
64,networking
65,problem-solving skills
66,scheduling
67,typing
68,computer
69,formatting
70,leadership
71,teaching
72,learning
73,time-management
74,client negotiations
75,assembly
76,paint shop
77,flash
78,asp.net
79,c#
80,java
81,fabricated
82,exterior
83,accruals
84,adobe suite
85,auto-cad
86,budget
87,content
88,contract negotiations
89,contracts
90,copying
91,cpr certified
92,client
93,fax
94,faxing
95,financial planning
96,forecasting
97,human resources
98,inventory management
99,invoice preparation
100,kronos
101,layout
102,law
103,legal
104,director
105,mail sorting
106,managing
107,materials management
108,mathematics
109,max
110,microsoft certified
111,microsoft office xp
112,outlook
113,windows 7
114,2000
115,people-soft
116,printers
117,procurement
118,programming
119,project management
120,quality
121,quick
122,reporting
123,supply inventory
124,tops
125,bal
126,budgets
127,cobal
128,computer programming
129,negotiating contracts
130,delivery
131,estimating
132,fdr
133,hiring
134,jcl
135,mainframe
136,marketing
137,microsoft project
138,network
139,new construction
140,developer
141,personnel
142,personnel training
143,press
144,progress
145,real estate
146,relationship building
147,retail
148,sales
149,trend
150,unique
151,including hammers
152,saws
153,squares
154,?  strong leadership
155,strong computer skills
156,cost control
157,managing a team
158,tanks
159,facilities
160,mechanical
161,civil
162,consultants
163,sanders
164,grinders
165,cranes drill press
166,understood
167,subcontractors
168,washington
169,idaho
170,metal stud framing
171,billings
172,invoices.          apprentice carpenter
173,journeyman carpenter
174,state       rough framing
175,form work
176,roofing systems
177,surveying
178,electrical
179,interpersonal/communication
180,construction manager
181,contract management
182,contract administration
183,decision making
184,documentation
185,engineer
186,senior management
187,features
188,logic
189,meetings
190,microsoft office
191,micro station
192,network analysis
193,next
194,primavera
195,problem solving
196,material procurement
197,project planning
198,proposal
199,purchasing
200,quality assurance
201,qa
202,quality control
203,report writing
204,strategic
205,surveys
206,swift 9
207,technician
208,variance analysis
209,acquisitions
210,budget preparation
211,cables
212,cable
213,coaching
214,continuous improvement
215,cpr
216,drafting
217,filing
218,first aid
219,forms
220,inventory control
221,invoicing
222,win
223,monitors
224,operations management
225,presentations
226,pricing
227,processes
228,program development
229,proposals
230,radio
231,supervision
232,system design
233,telecommunications
234,telephony
235,transmission
236,upgrade
237,asphalt field
238,conventional nature and
239,constructability
240,where applicable
241,using agency representatives
242,construction management
243,functional
244,negotiations
245,arabic
246,blueprints
247,budgeting
248,change management
249,interpersonal skills
250,contract negotiation
251,english
252,forklifts
253,hindi
254,leadership skills
255,regulatory compliance
256,problem solving skills
257,protocols
258,quality management
259,energetic work attitude
260,following directions
261,organized
262,responsible
263,strong work ethic
264,dependable
265,reliable
266,microsoft office (word
267,state            construction inspector
268,site layouts
269,including in-house
270,external contractors
271,concrete placement inspection
272,masonry inspection
273,sampling and testing
274,including as-built drawings
275,material testing reports
276,suitability and completeness
277,000
278,geotechnical engineering
279,environmental engineering
280,travel
281,experiencing new cultures
282,swimming
283,crafts
284,photography (taking classes)
285,family time
286,amusement parks
287,french
288,photoshop
289,analytical skills
290,building codes
291,cadence
292,civil engineering
293,compliance management
294,computer literate
295,concise
296,customer relationship management
297,engineer in training
298,eit
299,engineering design
300,equipment installation
301,hydraulics
302,team leadership
303,linux
304,masonry
305,matlab
306,publisher
307,microsoft visio
308,word
309,orcad
310,organizational skills
311,project design
312,solidworks
313,spanish
314,time management
315,course
316,kalamazoo
317,benton harbor
318,carpentry
319,presentation skills
320,credit
321,dc
322,mail
323,osha 10
324,nccer
325,construction site safety
326,core curriculum
327,accounting
328,accounts receivable
329,administrative
330,adobe software
331,ar
332,banking
333,strong communication skills
334,finance
335,financial reporting
336,general ledger
337,general ledger accounts
338,general ledger accounting
339,managerial
340,quickbooks
341,quickbooks pro
342,research
343,tax
344,tax returns
345,including
346,sweeping
347,pulling weeds
348,chain saws
349,electric clippers
350,gaming
351,approach
352,bridges
353,driving
354,government
355,home healthcare
356,legal documents
357,notes
358,radar
359,navigation
360,nursing
361,on foot
362,police
363,receiving
364,record keeping
365,supervisor
366,telephone
367,methods
368,negotiating prices
369,hardworking
370,confident
371,and patient individual
372,plans
373,availability
374,cash register
375,closing
376,coach
377,sc
378,customer relations
379,equipment operator
380,fast
381,weapons
382,policies
383,pos
384,restaurant operations
385,team player
386,auto cad
387,great leadership skills
388,operation monitoring
389,complex problem solving
390,critical thinking
391,active listening
392,reading comprehension
393,working within budget
394,creative & resourceful
395,hard working
396,understanding construction plans
397,managing change orders
398,multi tasking
399,account reconciliations
400,accounts payable
401,adobe acrobat
402,adobe
403,streamline
404,auditing
405,cash receipts
406,controller
407,draw
408,costing
409,expense reports
410,financial
411,graphics
412,graphic
413,hyperion
414,illustration
415,imageready
416,imaging
417,inspecting
418,lighting
419,macros
420,access
421,page layout
422,pdm
423,pivot tables
424,presenting
425,sage
426,selling
427,sap
428,staffing
429,timberline
430,visio
431,website
432,calibration
433,laboratory testing
434,logging
435,proofing
436,case management
437,prepare contracts
438,home office
439,litigation
440,windows operating systems
441,negotiation
442,paralegal
443,coding
444,safety codes
445,supervisory
446,solutions
447,commercial buildings
448,million
449,sales and
450,ecms
451,energy conservation
452,energy solutions
453,industrial facilities
454,retail marketing
455,retrofit
456,technical assistance
457,instrumentation
458,long-term disability
459,ltd
460,collection
461,maintenance
462,project engineer
463,real time
464,scada
465,testing
466,estimation
467,estimator
468,operations
469,sales team
470,takeoffs
471,fire protection
472,front end
473,quotations
474,sales activities
475,sales engineer
476,security
477,siemens
478,award
479,csr
480,energy management
481,project development
482,roi
483,selling of
484,sql
485,•
486,ordering materials
487,obtaining permits
488,asphalt mix
489,specifications
490,packages
491,and results
492,reports
493,000-$10
494,investors
495,state             osha 30
496,appfolio
497,yardi
498,realpage
499,adp
500,workforce
501,salesforce
502,reit accounts
503,asset management
504,word excel powerpoint
505,crisis management
506,due diligence
507,personnelmanagement
508,insurance claims
509,project analysis
510,real estate valuation
511,trim
512,baseboards
513,loaders
514,skid steers
515,bulldozers
516,weakness
517,including parts produced
518,downtime minutes
519,work orders
520,equipment
521,cost estimation
522,audit reports
523,office management
524,risk analysis
525,landscape plan
526,3500 projects
527,revit architecture
528,navisworks
529,rs means
530,streetsaver
531,bluebeam
532,wintr55
533,kenslabs
534,bim 360
535,ms project
536,business   analysis
537,business development
538,business operations
539,competitive
540,leadership development
541,management information systems
542,problem resolution
543,process improvement
544,quality   control
545,renovation 2.3
546,renovation 3.5
547,renovation
548,strategic planning
549,supplier management
550,troubleshooting
551,type
552,welds
553,workflow
554,xrays
555,ada
556,air force
557,art
558,budget management
559,bi
560,design and construction
561,electrical systems
562,office suite
563,rfi
564,technical support
565,blueprint
566,budget analysis
