,0
0,ada
1,billing
2,budgeting
3,business process
4,call center
5,consultation
6,contracts
7,client
8,clients
9,customer satisfaction
10,customer care
11,data collection
12,delivery
13,forms
14,gcp
15,glp
16,gmp
17,instructor
18,insurance
19,lecturer
20,legal
21,litigation
22,managing
23,marketing strategies
24,network
25,new product development
26,next
27,presentations
28,procurement
29,quality
30,reporting
31,research
32,risk management
33,safety
34,sales
35,strategy
36,strategic
37,strategic planning
38,system design
39,teaching
40,active learning
41,calendaring
42,"computer
proficiency"
43,coordination
44,creative problem solving
45,critical thinking
46,customer needs assessment
47,customer service
48,data entry
49,documentation
50,email
51,executive management support
52,filing
53,grammar
54,"internet
research"
55,letters and memos
56,microsoft excel
57,microsoft access
58,"microsoft
outlook"
59,microsoft powerpoint
60,microsoft word
61,multi-task management
62,organizational skills
63,prioritization
64,proofreading
65,reading comprehension
66,report transcription
67,scheduling
68,speaking
69,spreadsheets
70,"telephone
skills"
71,time management
72,travel arrangements
73,typing
74,vendor management
75,writing
76,medical terminology
77,office equipment
78,payroll
79,personnel
80,"policies and
procedures"
81,expense reports
82,administrative support
83,patient-focused care
84,completeness
85,"reviewed
     clearance requests"
86,accounting software
87,administrative
88,audio
89,benefits
90,c
91,data management
92,dc
93,senior management
94,functional
95,hiring
96,human resource
97,hr
98,inventory
99,invoicing
100,materials
101,access
102,excel
103,microsoft office suite
104,office
105,outlook
106,powerpoint
107,powerpoint presentations
108,win
109,word
110,newsletter
111,processes
112,recruiting
113,recruitment
114,staffing
115,tax
116,phone
117,training programs
118,video
119,website
120,websites
121,author
122,written
123,ads
124,autism
125,coach
126,coaching
127,data processing
128,drivers
129,financial statements
130,meetings
131,networking
132,personal coaching
133,pricing
134,psychology
135,researching
136,seminars
137,interviewed
138,career fairs
139,social media relationships
140,job boards
141,respectful
142,courteous attitude
143,early education psychology
144,adolescent psychology
145,developmental psychology
146,psychology of learning
147,psychological testing
148,abnormal psychology
149,sensation & perception
150,social psychology
151,psychological research
152,adhd
153,relationship coaching. virtual
154,face to face
155,used  microsoft office
156,smarttech smart board
157,public speaking
158,public relations
159,marketing
160,lead
161,revise/edit
162,patient administration
163,disaster management
164,leadership development
165,convoy operations
166,logistics
167,supply chain management
168,2nd infantry battallion
169,medical  evacuation logistics
170,supply orders
171,equipment maintenance
172,pre-hospital
173,long-term geriatric population
174,va home/clinic
175,acute care
176,phlebotomy/lab
177,immunization clinic
178,medical/surgical ward
179,pacu
180,icu
181,pediatric emergency department
182,telemetry
183,1-41 infantry batallion
184,3rd brigade
185,adobe acrobat professional
186,adobe photoshop
187,solidworks
188,emergency management systems
189,network administration
190,dslr photography
191,supply chain  management
192,classified document management
193,fully equipped
194,first line supervisors
195,complex problem solving
196,program management
197,casualty management
198,patient care
199,security
200,defensive tactics
201,offensive tactics
202,set-up
203,forward surgical teams
204,mentored
205,set up
206,software
207,brainmaster discovery 24e
208,pocket neurobics u-wiz
209,toxins
210,heavy metal contamination
211,therapeutic apheresis treatment
212,western medicine intervention
213,edit
214,and republish outdated
215,incomplete
216,medical aid
217,personal privacy
218,training
219,initiative
220,performance
221,compassionate volunteer work
222,leader
223,trainer
224,adobe acrobat
225,alpha
226,ambulance
227,army
228,behavioral health
229,chinese
230,consulting
231,cpr
232,document management
233,emergency care
234,english
235,event planning
236,first aid
237,image
238,immunization
239,information technology
240,inspection
241,instruction
242,investment management
243,investments
244,lesson plans
245,mentor
246,microsoft office
247,works
248,weapons
249,monitors
250,office management
251,phlebotomy
252,photography
253,progress
254,project management
255,read
256,sop
257,"supply chain
management"
258,teacher
259,therapy
260,training materials
261,treatment plan
262,troubleshoot
263,army service ribbon
264,overseas service ribbon
265,epic
266,healthcare systems
267,insurance/billing
268,sorian scheduling
269,health/medical records
270,reports
271,databases
272,data analysis
273,coordinating admission packages
274,arranging transportation
275,maintaining inventory
276,productivity
277,efficiency
278,leadership
279,teamwork
280,demeanor
281,documents
282,co-workers
283,cooperative
284,presenting effective solutions/recommendations
285,exceeding work expectations
286,information systems
287,management
288,ethics
289,interpersonal skills
290,decision-making
291,insurance verification
292,regulatory compliance
293,multi-tasking
294,organization
295,patient care support
296,sound strategic planning
297,time management.
298,outgoing attitude
299,acquisitions
300,cms
301,content
302,contract negotiations
303,contract management
304,database
305,directing
306,estimating
307,financial
308,government
309,leadership and training
310,market
311,negotiation
312,enterprise
313,coding
314,quality assurance
315,academic
316,accounting
317,balance
318,biology
319,business development
320,business law
321,chemistry
322,interpersonal
323,ca
324,counseling
325,disease-prevention
326,economics
327,family medicine
328,health promotion
329,assisting physicians
330,product marketing
331,program development
332,protocols
333,public health
334,rehabilitation
335,scientific
336,stress management
337,excellent interpersonal
338,professional
339,clinical staffing firm
340,radiology techs
341,physical therapists
342,radiation therapist
343,florida hospital
344,inova health systems
345,adventist healthcare
346,staff rn
347,compensation
348,directors and vps
349,union contract interpretation
350,dental
351,401k
352,life insurance
353,tuition reimbursement plan
354,city
355,admin support
356,benefits administration
357,credit
358,interpretation
359,microsoft office programs
360,msword
361,radiology
362,accounts receivable
363,auditing
364,business communications
365,business plan
366,client liaison
367,client support
368,financials
369,financial consulting
370,financial management
371,focus
372,intellectual property
373,2000
374,nt
375,operating systems
376,process improvement
377,programming
378,proposal
379,report writing
380,revenue recognition
381,siemens
382,software engineering
383,sql
384,custom
385,patient balance
386,configuration
387,quality center
388,state
389,budget director
390,human recourse
391,objectives
392,standards of performance
393,waste
394,procedures
395,experiments
396,treatment
397,such as blood
398,urine
399,and spinal fluid
400,their numbers
401,and morphology
402,type
403,hired
404,cleaning
405,department heads
406,hickman
407,picc
408,groshong
409,strep-a
410,bhcg
411,ua
412,protime
413,ct scans
414,research inquiries
415,member
416,american heart association
417,budget
418,calibration
419,draw
420,diagnosis
421,mac
422,director
423,quality control
424,reading
425,recording
426,sat
427,statistics
428,technical support
429,troubleshooting
430,view
431,composition
432,child care
433,developmental disabilities experience
434,basic
435,catheterization
436,clerical
437,developmental disabilities
438,health education
439,in k
440,organization skills
441,telephone
442,verbal communication
443,educational
444,and medical records
445,needs
446,dressing
447,oral care
448,dusted
449,detail-oriented
450,case management
451,charts
452,chemotherapy
453,closing
454,discharge planning
455,presenting
456,quest
457,supervising
458,telecommunication
459,wound care
460,cancer
461,dna
462,fast
463,grant writing
464,law
465,program evaluation
466,qa
467,venipunctures
468,build
469,test
470,desktop
471,installations
472,administration
473,snapshot
474,lvm
475,oracle
476,java) system administration
477,bash scripting
478,satellite patching
479,packages
480,administered
481,tcp/ip networking hardware
482,tomcat
483,bib brother
484,ngross
485,scripting
486,patching
487,linus
488,windows
489,nis
490,nfs
491,kickstart
492,10
493,11i
494,luns
495,maintenance
496,hp blade
497,dell technology
498,hp servers
499,skills    administrative support
500,apache
501,automation
502,backup
503,bash
504,cisco
505,clustering
506,hardware
507,consultant
508,crisis management
509,data conversion
510,dell
511,dhcp
512,disaster recovery
513,dns
514,ftp
515,hewlett packard
516,hp
517,hp-ux
518,hp-ux 9
519,ux
520,ibm
521,ibm mainframe
522,java
523,korn shell
524,lan
525,layout
526,linux
527,logic
528,medisoft
529,mail
530,window
531,window 8
532,middleware
533,migration
534,pci
535,red hat
536,servers
537,shell scripts
538,snmp
539,solaris 9.0
540,solaris
541,system administration
542,tcp/ip networking
543,technical assistance
544,hp-unix
545,unix
546,unix servers
547,upgrades
548,veritas cluster server
549,veritas clustering
550,vm
551,wan
552,excellent interpersonal skills
553,hospice care provider
554,painting
555,playing the piano
556,yoga
557,human resources
558,account management
559,inside sales
560,cv
561,efficacy
562,107.32% toviaz
563,108.13% flector patch
564,108.77% flector patch
565,104.31% celebrex
566,89.71% flector patch
567,treatments
568,operating room management
569,palliative care
570,patient advocate
571,buckets of happiness
572,securing funding
573,recruiting volunteers
574,ms diabetes association
575,seasoned healthcare advisor
576,excellent communication skills
577,creative problem solver
578,innovative critical thinker
579,change driver
580,go-live
581,streamline
582,adp
583,business analysis
584,business operations
585,conversion
586,cost reduction
587,facilities management
588,fax
589,finance
590,front office
591,german
592,health information technology
593,marketing plan
594,navigation
595,optimization
596,patient safety
597,perioperative
598,policies
599,problem solving
600,purchasing
601,real estate
602,selling
603,strategic alliances
604,supply chain
605,user training
606,workflow
607,workshops
608,competitive
609,concept
610,council
611,e-commerce
612,promotion
613,unique
614,2012  volunteer
615,eco city farms
616,2014  socktober drive
617,2016  volunteer
618,2016 - 2017
619,2012      volunteer
620,2014    socktober drive
621,2016     volunteer
622,wellness programs
623,issuing money orders
624,assisting with refunds
625,arts
626,assisted living
627,cna
628,home health
629,nursing
630,receiving
631,shipping
632,ms office
633,all windows os
634,all mac os
635,css
636,.net
637,asp.net
638,active directory
639,agile
640,ajax
641,api
642,architect
643,automate
644,bi
645,business intelligence
646,cascading style sheets
647,excellent communication
648,computer engineering
649,configuration management
650,content management
651,creativity
652,data warehouse
653,designing
654,eclipse
655,electronic medical records
656,gateway
657,html
658,iis
659,it strategy
660,itil
661,javascript
662,messaging
663,c#
664,exchange
665,modeling
666,mvc
667,object oriented programming
668,oct
669,order management
670,product development
671,profit
672,proxy
673,retail
674,scrum
675,sql server
676,telephony
677,t-sql
678,uml
679,visual studio
680,wealth-management
681,web applications
682,salesforce.com
683,clarity ppm tool
684,incentive packages
685,women's healthcare specialist
686,clientele
687,customer  ssatisfaction
688,decision making
689,team leadership
690,marketing plans
691,mergers
692,communicator
693,problem-solving
694,relationship-building
695,pa
696,effective communication
697,trouble shooting
698,cloud technology
699,skype
700,proficient
701,instant messaging
702,web chat
703,negotiating
704,up-sell
705,cross-sell ability
706,outlook email
707,lotus notes
708,quicken
709,mapd
710,collaboration
711,regarding insurance authorization
712,claims
713,benefits parameters applied
714,accuracy
715,goal-setting
716,banking
717,customer relations
718,customer service training
719,pdp
720,ivr
721,ma
722,people skills
723,proposals
724,public-speaking
725,quickbooks
726,rapport
727,requirement
728,sales skills
729,usa patriot act
730,(ofac)
731,(fdic)
732,(tisa)
733,aproach
734,atm
735,lock box
736,ne
737,rapport building
738,reconciling
739,illustrator
740,faxes
741,management information system
742,technician
743,phones. transportation
744,healthcare
745,transmissions
746,fda
747,patent
748,class
749,liaison
750,project planning
751,associate
752,and marketing
753,metrics
754,visualization
755,business cases
756,cases
757,due diligence
758,brand marketing
759,consumer products
760,laboratory
761,non-destructive
762,quantitative
763,electron microscopy
764,interviewing
765,leica
766,long-term disability
767,ltd
768,polarized light
769,polarized light microscopy
770,scanning
771,scanning electron
772,biochemistry
773,general chemistry
774,archiving
775,data archiving
776,imaging
777,implemenation
778,instrumentation
779,sensor
780,sensor development
781,acta
782,adme
783,antimicrobial
784,consumer needs
785,eds
786,emc xiv
787,iss
788,medical device
789,medical devices
790,optical
791,pipeline
792,prototype
793,prototypes
794,regulatory affairs
795,san
796,secretary
797,storage area network
798,translate
799,vitro
800,xiv
801,analytical chemistry
802,biotechnology
803,adherence to policy
804,sales observation coaching
805,process execution
806,credit  training
