,0
0,budget
1,cabling
2,cisco
3,hardware
4,client
5,documentation
6,electrician
7,feasibility studies
8,funds
9,information technology
10,inspector
11,lan
12,materials
13,access
14,network
15,networking
16,networks
17,personnel
18,telephone systems
19,printers
20,processes
21,project management
22,quality assurance
23,routers
24,system design
25,technical assistance
26,technician
27,telecommunications
28,troubleshoot
29,troubleshooting
30,upgrades
31,video
32,cable
33,and telephone.
34,army
35,counseling
36,customer assistance
37,database
38,inventory
39,ip
40,windows 7
41,policies
42,protocols
43,repairs
44,routing
45,san
46,supervisor
47,test equipment
48,wan
49,photoshop
50,premier
51,art
52,computer repair
53,curriculum development
54,customer service training
55,department of health
56,dreamweaver
57,fireworks
58,flash
59,help desk
60,html coding
61,illustrator
62,indesign
63,inventory control
64,mac os
65,market
66,excel
67,microsoft networking
68,outlook
69,powerpoint
70,windows os
71,word
72,multimedia presentations
73,natural
74,network management
75,novell
76,php
77,progress
78,quarkxpress
79,staff training
80,technical support
81,user training
82,phone
83,wiring
84,staff
85,trained
86,wireless network
87,visits
88,funerals
89,state
90,peoplesoft hcm 8.8/9.x
91,peoplesoft financials 8.8/9.x
92,peopletools 8.51/ 8.54
93,sql developer
94,ms office
95,visio
96,ms project
97,dell stat 5.6/5.7
98,application designer
99,putty
100,sharepoint
101,oracle enterprise manager
102,stat admin
103,toad
104,service now
105,remedy
106,heat
107,oracle e-business
108,financial
109,operational
110,security
111,control walkthroughs
112,control testing
113,remediation assistance
114,implementations
115,operational audits
116,permission lists
117,data owners
118,end users
119,improvements
120,monitor
121,developers
122,quality engineers
123,peers
124,dashboards
125,ps financials
126,ps campus solutions
127,cybersecurity assessments
128,peoplesoft financial systems
129,procurement
130,audit schedules
131,risk management
132,compliance
133,analysis
134,business owners
135,peoplesoft
136,oracle
137,siebel
138,payroll
139,peoplesoft hr
140,define business processes
141,invoice approvals
142,employee time approvals
143,sponsor roadmap
144,coaching plan
145,business leaders
146,applications
147,track
148,modify
149,test
150,debug
151,determined root cause
152,e-procurement
153,vpn connectivity
154,blackberry
155,ccna
156,approach
157,as/400
158,audit reports
159,auditing
160,business owner
161,business process
162,business processes
163,business process re-engineering
164,change management
165,cisa
166,citrix
167,coaching
168,continuous improvement
169,council
170,clients
171,customer satisfaction
172,dell
173,e-business
174,financials
175,financials 8.8
176,financial reporting
177,functional
178,grants
179,hp
180,hubs
181,hr
182,information systems
183,internal audit
184,it management
185,it support
186,itil
187,leadership
188,team lead
189,mainframe
190,meetings
191,mcse
192,migration
193,enterprise
194,oncology
195,developer
196,peoplesoft hrms
197,peoplesoft 9.1
198,peoplesoft 9.2
199,peopletools
200,peopletools 8.51
201,quality
202,re-engineering
203,reporting
204,requirement
205,requirements gathering
206,risk assessment
207,sarbanes oxley
208,sas
209,sigma
210,sql
211,strategy
212,structured
213,supplier management
214,user support
215,technical documentation
216,upgrade
217,validation
218,vpn
219,articles
220,ad
221,cisco ios
222,cisco routers
223,contracts
224,dell poweredge servers
225,designing
226,erp
227,firewall
228,focus
229,groupwise
230,help desk support
231,ibm
232,ids
233,laptops
234,notebook computers
235,linux
236,managing
237,mas90
238,exchange
239,office
240,windows
241,windows xp
242,network engineer
243,network printers
244,operating systems
245,pci
246,phone system
247,pos
248,prime
249,printer
250,purchasing
251,express
252,research
253,router
254,scanners
255,sco unix
256,ssl
257,switches
258,cisco switches
259,symantec
260,trend
261,vendor management
262,vista
263,voip
264,windows server
265,workflow
266,a  certification
267,active directory
268,anti-virus
269,compliance manager
270,ca
271,concept
272,contract negotiations
273,conversion
274,encryption
275,desktops
276,disaster recovery
277,dns
278,gateway
279,imaging
280,information security
281,legal
282,mac
283,director
284,mcafee
285,mediator
286,mentoring
287,microsoft exchange
288,mail
289,windows (xp
290,negotiation
291,programming
292,proxy
293,red hat
294,relationship building
295,statistics
296,tcp/ip
297,technical trainer
298,phones
299,author
300,administrative
301,analyst
302,agency
303,cat5
304,engineer
305,engineering support
306,government
307,ims
308,local area networks
309,local area network
310,lans
311,law
312,project leader
313,project coordination
314,qa
315,quick
316,radio
317,sat
318,scheduling
319,surveys
320,switch
321,systems integration
322,telephone
323,theatre
324,uhf
325,ultra high frequency
326,voice and data
327,4d
328,adobe products
329,apple
330,automation
331,backup
332,broadcast
333,budget planning
334,computer technician
335,databases
336,dhcp
337,editing
338,final cut
339,ftp
340,magic
341,microsoft exchange server
342,2000
343,network administration
344,os
345,operating system
346,power builder 6.5
347,power builder 9.0
348,quickbooks pro
349,sales
350,servers
351,software installation
352,microsoft sql server
353,streaming video
354,sybase sql anywhere
355,television
356,windows 2000 server
357,academic
358,adp
359,architect
360,b2b
361,behavioral health
362,billing
363,book
364,broadvision
365,cad
366,case management
367,ventura
368,crm
369,customer support
370,data collection
371,data warehouse
372,decision support
373,delivery
374,document management
375,edge
376,estimating
377,front office
378,drawing
379,insurance
380,internet marketing
381,law enforcement
382,leadership skills
383,mentor
384,microwave
385,new construction
386,packaging
387,pacs
388,patient care
389,permitting
390,presentations
391,process re-engineering
392,project leadership
393,proposal
394,public health
395,public safety
396,real-time
397,requirements definition
398,rms
399,sap
400,supervision
401,tax
402,training materials
403,utilities
404,warrants
405,web development
406,asp.net
407,adobe acrobat
408,adobe dreamweaver
409,adobe photoshop
410,application design
411,arts
412,billing systems
413,business objects
414,business operations
415,c++
416,client server
417,strong communication skills
418,"crystal
reports 9"
419,"database
development"
420,database development
421,database design
422,forms
423,frame
424,html
425,computer support
426,marketing materials
427,"microsoft
access"
428,microsoft office
429,microsoft sharepoint
430,oracle database
431,pl/sql
432,personnel management
433,police
434,profit
435,report writing
436,sdlc
437,software development
438,strategic planning
439,system administration
440,user manuals
441,visual basic
442,web intelligence
443,branding
444,budgets
445,business analysis
446,bi
447,business intelligence
448,business management
449,data analysis
450,dba
451,decision making
452,hiring
453,producing
454,sap bw
455,ms sql
456,staff development
457,systems architecture
458,website
459,adobe
460,antivirus
461,backup exec
462,call center
463,capacity planning
464,computer assembly
465,direct attached storage
466,das
467,dell servers
468,iso 9000
469,logistics
470,logistics and management
471,microsoft certified professional
472,microsoft office professional
473,microsoft project
474,microsoft sql
475,microsoft visio professional
476,windows 8
477,nas
478,network attached storage
479,new product development
480,pbx
481,quality improvement
482,robotic
483,safety
484,storage area network
485,teamwork
486,technical analysis
487,visio professional
488,vision
489,web portal
490,integrity
491,repair
492,files
493,implementing
494,monitored
495,threat bulletins
496,nt
497,and win 2000)
498,network connectivity
499,tcp/ip configuration
500,provided technical support
501,email boxes
502,distribution lists
503,performed upgrades
504,c
505,client and server
506,compaq
507,data processing
508,drivers
509,email
510,ghost
511,hewlett-packard
512,internet connectivity
513,ms office products
514,microsoft office suite
515,win9
516,windows 2000
517,win 2000
518,windows 95
519,98
520,windows nt
521,monitors
522,network security
523,norton antivirus
524,peripherals
525,various printers
526,desktop support
527,trouble-shoot
528,basic
529,benefits
530,broadband
531,budgeting
532,cobol
533,computer applications
534,conferences
535,consulting
536,customer service
537,database management
538,dbase iv
539,direction
540,edi
541,features
542,fortran
543,gis
544,ibm compatible
545,inspection
546,interpretation
547,laser
548,macintosh
549,mapinfo
550,mathematics
551,ms excel
552,management information system
553,naval
554,novell netware
555,oil
556,pascal
557,pc networking
558,camera
559,proposals
560,reception
561,relational database
562,rpg iii
563,shell
564,software engineering
565,strategic
566,sun sparc
567,telecommunication
568,transmission
569,unix and c
570,unix
571,vax
572,vms
573,wide area network
574,microsoft outlook 2013
575,windows 10
576,system security
577,data automation
578,circuit design application
579,unix client server
580,interpersonal skills
581,network systems
582,content encryption
583,customer relations
584,databases query
585,electronic filing
586,microsoft windows deployment
587,software imaging
588,lotus notes
589,mainframes
590,formal presentations
591,radio communication
592,geographical statistics
593,and technical support.
594,detail oriented
595,legal terminology
596,managerial experience
597,meeting organizational skills
598,advanced problem-solving skills
599,paralegal
600,performance appraisals
601,lr&w
602,westlaw
603,lexisnexis
604,accounting
605,cisco certified
606,e-mail
607,employee training
608,finance
609,human resources
610,team leadership
611,managing people
612,ms office suite
613,windows 98
614,needs analysis
615,network administrator
616,organizational development
617,programmer
618,seminars
619,service level agreements
620,sla
621,telecom
622,telephony
623,trainer
624,wordperfect
625,account management
626,cables
627,ms exchange server
628,hp unix
629,vbscript
630,visual basic programming
631,network/server security
632,geographic information system
633,vbscripts and powershell
634,sans
635,lync 2013
636,communicated with teachers
637,managers and students
638,fortress desktop security
639,rosetta stone
640,proofpoint spam filter
641,iboss web filter
642,group policy
643,2012
644,2003
645,7
646,10
647,linux hp unix
648,microsoft office 2007
649,2010
650,2013
651,2016
652,skype for business
653,escape financial system
654,alertus desktop alerting
655,
656,laserfiche
657,sharepoint 2013
658,informacast speaker system
659,ram
660,video cards
661,hard drives
662,raid controllers
663,network cabling
664,motherboards
665,20+ years' experience)
666,it operations (intermediate
667,cna
668,a+
669,mcp
670,comptia a+
671,a+network
672,a+ security
673,hippa
674,series 7
675,63
676,24 microsoft
677,comptia
678,sec  series 7
679,12        skills    a+
680,a+ certification
681,hardware installation
682,dos
683,hardware support
684,internet explorer
685,windows 8.1
686,software documentation
687,user interface
688,asp.net 4.5
689,vb.net
690,contract negotiation
691,etl
692,training
693,executive management
694,senior management
695,goldmine
696,healthcare it
697,marketing
698,network analysis
699,performance reviews
700,process enhancement
701,product development
702,sql server
703,visual studio
704,american sign language
705,excellent communication
706,english
707,power point
708,microsoft word
709,works
710,problem solving skills
711,translation
712,disaster recovery planning
713,inspects
714,notebooks
715,mechanical
716,nortel
717,pick
718,scanner
719,script
720,shipping
721,user documentation
722,arabic
723,back-up
724,nt servers
725,pc's
726,training programs
727,trouble shooting
728,.net
729,adabas
730,ado
731,agile
732,application development
733,asp
734,banking
735,banyan
736,cardiology
737,data management
738,database administration
739,xml
740,iis
741,it strategy
742,c#
743,network support
744,object modeling
745,oracle dba
746,oracle sql
747,requirements analysis
748,tableau
749,web applications
750,year 2000
751,software: active directory
752,hp insight manager
753,emc avamar
754,symantec ghost
755,voltage email encryption
756,websense
757,quest archive manager
758,symantec backup exec
759,microsoft iis
760,ca arcserve
761,barracuda spam firewall
762,blackberry enterprise server
763,sophos anti-virus
764,trend micro anti-virus
765,vmware
766,hyper-v
767,barracuda backup
768,barracuda web filter
769,cisco call manager
770,cisco uccx
771,exact target
772,cisco  switches
773,checkpoint firewalls
774,hp procurve switches
775,meraki wi-fi
776,cisco wi-fi
777,hp proliant
778,dell poweredge.
779,streamline
780,business systems
781,closing 3
782,guardian
783,investments
784,itil v
785,money
786,msa
787,negotiating
788,relationship management
789,rfi
790,rfp
791,sales support
792,clerical
793,good communication skills
794,computer knowledge
795,excellent customer service
796,electrical wiring
797,filing
798,mechanic
799,weapons
800,multi-tasking
801,record keeping
802,spanish
803,supervising
804,answering phones
805,vra
806,a+ certified
807,cash flow
808,content management
809,coral
810,extranet
811,firewalls
812,lotus
813,microsoft access i
814,microsoft access
815,microsoft certified
816,microsoft office 97
817,microsoft windows 2003
818,microsoft nt 4
819,nt 4 0
820,navision
821,office suites
822,organizing
823,report writer i
824,sql 2000
825,sybase
826,system administrator
827,training employees
828,voice mail
829,web site
830,bathrooms
831,building exterior
832,parking lot
833,state             information technology
834,microsoft great plains
835,accountmate
836,campus nexus crm
837,arcserve
838,audio
839,bgp
840,linc
841,domino
842,ma
843,exchange server
844,novell servers
845,real estate
846,server configuration
847,upgrading
848,language: chinese
849,adobe suit
850,java
851,cording
852,rfid
853,e-commerce
854,(hr) business marketing
855,qms statistics
856,including:er
857,registration
858,pharmacy
859,interpersonal
