,0
0,sales software: salesforce.com
1,ms word
2,excel
3,adp payroll system
4,great plains software
5,abc
6,bloomberg
7,broadcast
8,budget
9,client
10,clients
11,excellent customer service
12,customer service
13,database
14,financial
15,ledger
16,letters
17,marketing
18,media plan
19,mentor
20,newsletter
21,nursing
22,press
23,press releases
24,public relations
25,publications
26,publicity
27,radio
28,real estate
29,receiving
30,research
31,sales
32,fm
33,speeches
34,sun
35,phone
36,tv
37,television
38,video
39,web site
40,articles
41,consumer
42,state      communication
43,special olympics
44,organized seating arrangements
45,advertised event
46,write pr proposals
47,broker talent deals
48,maintained client relationships
49,professional athletes
50,managers
51,publicists
52,agents
53,award shows
54,national
55,jodeci
56,chante moore
57,jesse powell
58,keke wyatt
59,jaguar wright
60,archie
61,magic johnson music
62,business programs
63,cable
64,national print
65,social media
66,sports
67,fashion magazines
68,epks
69,press kits
70,biographies
71,media alerts
72,scouting locations
73,planning budgets
74,producers
75,including writers
76,regional
77,print
78,in-house publicists
79,kenny “babyface” edmonds
80,boyz ii men
81,lionel richie
82,deborah cox
83,tamia
84,tracie spencer
85,dave koz
86,the temptations
87,the bees gees
88,kurupt
89,shep crawford
90,tupac shakur
91,r. kelly
92,state              skills    photo
93,artist
94,arts
95,avenue
96,billings
97,budgets
98,bi
99,ca
100,databases
101,event management
102,special events
103,fashion
104,film
105,legal
106,magic
107,managing
108,marketing strategies
109,marketing plans
110,market
111,materials
112,media relations
113,works
114,paralegal
115,pr
116,producer
117,proposals
118,quality control
119,recording
120,strategy
121,mtv awards
122,grammy
123,naacp image awards
124,america music awards
125,and bet
126,etc.)
127,videos
128,photography
129,product
130,bet awards
131,ascap (music expo
132,administrative
133,advertising
134,agency
135,clerical
136,conferences
137,content
138,copying
139,edge
140,editing
141,editor
142,event planning
143,inventory
144,director
145,media training
146,meetings
147,microsoft office
148,office
149,power point
150,publisher
151,word
152,progress
153,raiser's edge
154,social media platforms
155,website
156,workshops
157,accounting
158,acquisitions
159,bookkeeping
160,book
161,conflict resolution
162,data analysis
163,documentation
164,government
165,inspecting
166,law enforcement
167,listening
168,logistics
169,logistics management
170,win
171,navy
172,personnel
173,police
174,policies
175,quality assurance
176,reporting
177,requirement
178,scheduling
179,shipping
180,spreadsheet
181,strategist
182,workflow
183,scheduling appointments
184,c
185,cardiology
186,directing
187,leadership
188,patient care
189,surgery
190,answering phones
191,phones
192,legal assistant
193,satisfaction
194,training
195,coaching
196,fundraising
197,copywriting
198,budgeting
199,merchandising
200,games
201,adobe photoshop
202,b2c
203,photoshop
204,associate
205,liaison
206,operations
207,medical
208,fitness
209,2016
210,direct mail
211,marketing plan
212,public policy
213,community relations
214,content management systems
215,indesign
216,ms office
217,quark xpress
218,video production
219,dslar cameras
220,adobe premier
221,video stories
222,public service announcements
223,media campaigns
224,brand image
225,business leaders
226,consumers
227,directors
228,noticiero univision
229,"""embracing autism"
230,cashier
231,com
232,crisis communications
233,customer satisfaction
234,direction
235,driving
236,hiring
237,hr
238,modeling
239,profit
240,recruitment
241,retail
242,selling
243,websites
244,2014
245,illustrator
246,html
247,projet management
248,change management
249,writing skills
250,business development
251,solutions
252,exchange
253,marketing department
254,b2b
255,b2b sales
256,including sales
257,promotional
258,sales management
259,sales organization
260,securities
261,american red cross
262,health and wellness
263,red cross
264,registered nurse
265,and marketing
266,business plan
267,conflict management
268,crisis management
269,customer relations
270,educational programs
271,emergency preparedness
272,fact
273,fact erp
274,graphic design
275,healthcare
276,hippa
277,marcom
278,mba
279,media planning
280,networking
281,printing
282,product management
283,receptionist
284,retail sales
285,rn
286,audio
287,"corporate
communications"
288,corporate communications
289,designing
290,editorial
291,features
292,marketing collateral
293,newsletters
294,newspaper
295,developer
296,page
297,presentations
298,xpress
299,scripts
300,trade shows
301,transportation
302,webmaster
303,dreamweaver
304,branding
305,cost control
306,executive coaching
307,focus
308,messaging
309,outlook
310,powerpoint
311,positioning
312,project management
313,proposal development
314,speaking
315,quality
316,roofing
317,strategic
318,pitches
319,blogs
320,ceo letters
321,statistical reports
322,health philanthropy
323,created
324,army core
325,reduced scrolling
326,trimmed clutter
327,employee recognition
328,civil works projects
329,level 1 (usace
330,savannah district
331,savannah
332,phase i (usace
333,ft. meade
334,approach
335,concept
336,credit
337,english
338,senior management
339,money
340,enterprise
341,oil
342,processes
343,quick
344,relationship management
345,repairs
346,spanish
347,technical training
348,adobe illustrator
349,benefits
350,cancer
351,content management
352,funds
353,graphics
354,marketing management
355,marketing materials
356,microsoft excel
357,microsoft outlook
358,microsoft powerpoint
359,microsoft word
360,network
361,networks
362,next
363,product marketing
364,project lead
365,promotion
366,sound
367,photo
368,ad copy
369,content creation
370,edit
371,fast
372,team building
373,marketing consulting
374,lisa
375,negotiations
376,newspapers
377,paint
378,camera
379,producing
380,recruiting
381,researcher
382,seminars
383,speech
384,stories
385,strategic marketing
386,unique
387,web content
388,author
389,work history      vp
390,state      strategize
391,direct
392,md.
393,department of tourism
394,old bay
395,mccormick & company
396,marble slab creamery
397,great american cookies
398,pretzelmaker
399,nobel learning communities
400,inc.
401,execute
402,and manage local
403,message points
404,interview coordination
405,marketing collateral pieces
406,the today show
407,fox & friends
408,newsweek
409,consistent account messaging
410,to account executive
411,to account manager
412,copy
413,ad
414,business process
415,cms
416,council
417,filing
418,front page
419,functional
420,hot dog
421,image
422,journalism
423,layout
424,mac
425,2000
426,operating systems
427,organizing
428,presenting
429,qualitative research
430,read
431,speech writing
432,swift
433,tops
434,written communications
435,written
436,writer
437,""" ocean city"
438,company literature
439,announcements
440,prospects
441,talking points
442,exhibitions
443,000 employees
444,attention to detail
445,brochures
446,excellent communication
447,contracts
448,email
449,marketing and communications
450,marketing communications
451,marketing material
452,understand store
453,purchasing
454,travel arrangements
455,adobe
456,acrobat
457,advertisements
458,art direction
459,asset management
460,banners
461,brand strategy
462,brochure
463,capital markets
464,creative direction
465,creative development
466,flash
467,packaging design
468,packaging
469,posters
470,pre-press
471,programming
472,strategic development
473,web design
474,and customer service
475,banner
476,visiflow
477,xtendersolutions
478,cisco agent desktop
479,squarespace
480,mailchimp
481,cendyn
482,google analytics
483,gps
484,lexis nexis
485,media plans
486,access
487,ms office suite
488,project plans
489,public speaking
490,creative problem solving
491,event production
492,fax
493,invoicing
494,notebooks
495,law
496,microsoft office suite
497,office equipment
498,scanner
499,self -motivated
500,team player
501,editing skills
502,multi-media
503,self-starter
504,verbal communication skills
505,equity
506,finance
507,grants
508,investments
509,msi
510,oct
511,pdm
512,prime minister
513,rehabilitation
514,supervision
515,surveys
516,tender
517,pc
518,microsoft office programs
519,windows
520,volleyball
521,kayaking
522,music
523,reading
524,hiking
525,swimming
526,blogging
527,faculty
528,students
529,fiscal administration
530,acknowledging
531,major gifts campaigns
532,endowments
533,investment  policies
534,scholarship programs
535,donor recognition
536,writing
537,annual reports
538,marketing literature
539,promoting
540,chair (2015-2016)
541,d.r.
542,gibson
543,m.c.
544,novicevic
545,m.m.
546,15(1)
547,9-19.   novicevic
548,m.
549,williams
550,l.
551,abraham
552,d.
553,smothers
554,j.
555,crawford
556,16(3).
557,state
558,accounts payable
559,accounts receivable
560,administrative functions
561,back-up
562,balance sheet
563,billing
564,concise
565,cpr
566,delivery
567,diagnosis
568,financial forecasting
569,financial reporting
570,insurance
571,ms excel
572,mail
573,ms powerpoint
574,month-end closing
575,payroll
576,sarbanes-oxley
577,taxes
578,type
579,human-centered design facilitator
580,concepts
581,notes
582,and programs
583,market research
584,san
585,excellent interpersonal skills
586,strong communication skills
587,copyediting
588,database management
589,employee relations
590,problem solver
591,fast learner
592,spreadsheets
593,"accounts
payable"
594,ask
595,billing system
596,charts
597,customer support
598,frame
599,oss
600,scanning
601,service level agreement
602,service level agreements
603,tax
604,telephone
605,state        processed applications
606,payments
607,corrections
608,state       dispensed guidance
609,staff
610,negotiated
611,lectures
612,factiva
613,cision
614,twitter
615,pinterest
616,youtube and instagram)
617,newsletter  agency
618,organizing  brand management
619,organizational  brochures
620,presentations  budgets
621,pr  budget
622,press releases  budgeting
623,pricing  competitive
624,producing  content
625,profit      contract negotiation
626,project management  database
627,promotional materials  management
628,proofreading  special events
629,public relations  graphics
630,public  inventory
631,relations  logistics
632,publicity  marketing strategies
633,research  marketing plan
634,retail  marketing
635,sales  market
636,strategy  marketing communications
637,time management  materials
