,0
0,air force 2
1,attention to detail
2,interpersonal and communication
3,communications skills
4,oral communication
5,creative problem solving
6,customer relations
7,customer service
8,government
9,innovation
10,inspection
11,leadership
12,materials
13,problem solving
14,public safety
15,public speaking
16,quality
17,safety
18,sales
19,supervisory
20,supervision
21,technician
22,plans
23,state
24,accounts receivable
25,adp
26,closing
27,"cold
          calling"
28,inventory
29,managerial
30,excel
31,mail
32,office
33,outlook
34,microsoft word
35,month end close
36,policies
37,quickbooks
38,selling
39,sap
40,shipping
41,time management
42,accounting
43,benefits
44,budgets
45,excellent communication
46,contracts
47,resolve customer complaints
48,employee relations
49,firing
50,hiring
51,labor relations
52,market trends
53,marketing
54,organizational
55,personnel
56,problem solver
57,processes
58,promotion
59,receiving
60,sales forecasting
61,staffing
62,strategic planning
63,employee development
64,cash management
65,communication skills
66,computer literate
67,mobilizes
68,administrator
69,e-finance
70,e-pharmacy
71,crisis
72,business process models
73,camtasia
74,and snag it
75,hardware installs
76,troubleshooting
77,detailed application knowledge
78,scanners
79,individual
80,worker tasks
81,and case summary
82,printers
83,signature pads
84,business process
85,business solution
86,excellent customer service
87,data warehouse
88,functional
89,
90,assembly
91,hardware
92,customer satisfaction
93,database
94,direction
95,drivers
96,electronics
97,forklift
98,macola
99,works
100,neat
101,cameras
102,pricing
103,retail
104,routing
105,soldering
106,troubleshoot
107,type
108,well organized
109,out-of-code
110,check
111,financial management
112,presenting
113,employees
114,take orders
115,direct calls
116,copy
117,sort
118,business transactions
119,including mail
120,facsimile machines
121,voice mail systems
122,mailing
123,and database systems
124,records
125,supplies
126,listening
127,meetings
128,microsoft excel
129,money
130,next
131,office machines
132,photocopiers
133,report writing
134,research
135,fluent in spanish
136,spreadsheets
137,take messages
138,team player
139,telephone
140,telephones
141,phone
142,phone etiquette
143,typing speed
144,voice mail
145,websites
146,"customer
satisfaction"
147,"customer
service"
148,email
149,expense reports
150,fast
151,faxes
152,facsimile
153,filing
154,powerpoint)
155,sharepoint
156,visio
157,lms
158,centra
159,digital marketing
160,mailchimp
161,webtrends
162,treehouse prm
163,ms dynamics
164,salesforce.com
165,hubspot
166,marketo
167,vertical response
168,photoshop
169,dreamweaver
170,teamsite cms
171,citrix
172,social media; linkedin
173,facebook
174,and twitter
175,000 - $950
176,ga
177,manufacturing
178,distribution
179,literate
180,ms excel
181,state      responsible for
182,sunnyland foods
183,lykes
184,ball.  park
185,tennessee pride
186,gwaltney
187,south carolina
188,1978
189,1983
190,1985
191,macon
192,georgia may
193,1966 - jul
194,1967
195,advertising
196,as400
197,balance
198,bookkeeping
199,"computer
literate"
200,human relations
201,management training
202,market
203,persuasive
204,sales representative
205,in sales
206,corporate sales
207,operations
208,sales and
209,accounts and
210,accounts for
211,and sales
212,billing
213,business operations
214,developing sales
215,kitchen
216,lighting
217,merchandising
218,million
219,new accounts
220,of sale
221,plumbing
222,point of sale
223,receptionist
224,retail sales
225,sales of
226,sales purchases
227,sales reps
228,sales revenue
229,sales techniques
230,training
231,outside sales
232,clients
233,leads
234,sales quotas
235,buying/procurement
236,existing accounts
237,new account
238,proposals
239,purchasing
240,sales through
241,telemarketing
242,marketing management
243,microsoft windows
244,of sales
245,office xp
246,powerpoint
247,public relations
248,sales/marketing
249,word
250,gm's
251,market share
252,mailed correspondence
253,approach
254,army
255,automotive
256,credit
257,client
258,customer service experience
259,databases
260,staff training
261,finance
262,inventory control
263,leadership skills
264,marketing strategies
265,exchange
266,navy
267,negotiator
268,newspapers
269,packaging
270,excellent people skills
271,presentations
272,public speaker
273,relationship building
274,sales manager
275,sales training
276,seminars
277,transportation
278,view
279,honest
280,reliable
281,driven
282,enthusiastic people person
283,self motivated
284,insightful
285,innovative
286,state       business
287,competitive
288,counselor
289,inside sales
290,instruction
291,inventory management
292,payroll
293,quick
294,scheduling
295,specification.
296,cash
297,answering
298,associate
299,exceed
300,new hires
301,new sales
302,pos system
303,reconciliation
304,recruiting
305,sales associate
306,sales associates
307,the sale
308,visual merchandising
309,payments
310,invoices
311,all sales
312,correspondence
313,data entry
314,documentation
315,ordering
316,sales service
317,scanning
318,audits
319,bank teller
320,change orders
321,loans
322,multitasking
323,accounts payable
324,between accounts
325,general ledger
326,incoming calls
327,invoice
328,purchase orders
329,archiving
330,data archiving
331,detail oriented
332,etiquette
333,excellent communication skills
334,excellent multi-tasker
335,microsoft office
336,ms office
337,multi-line
338,multi-line phone
339,office assistant
340,power point
341,microsoft office suite
342,calendaring
343,critical thinking
344,blueprints
345,read blueprints
346,interpersonal & communication
347,conferences
348,layout
349,networking
350,new construction
351,plumber
352,improve process
353,progress
354,quality control
355,repairs
356,fm
357,tear
358,technical assistance
359,ask
360,business plan
361,features
362,real estate
363,cpr
364,first aid
365,long-term
366,salads
367,soups
368,physical security
369,information protection
370,usa
371,account management
372,strong sales experience
373,s2k (cis billing)
374,accounts payable (caps)
375,microsoft dynamics crm
376,gsa lite
377,acrobat pro
378,book
379,computer knowledge
380,team building
381,marketing plans
382,newspaper
383,programming
384,sales skills
385,sales management
386,strategic
387,ads
388,data base
389,"answered   
     multi-line phones"
390,evaluate alternatives
391,customer-focused
392,agent
393,system
394,returns
395,explaining unique features
396,services
397,store hours
398,answer general questions
399,merchandise transfers
400,rules
401,state        checked in
