,0
0,instructional design
1,teaching
2,progress monitoring
3,course development  evernote
4,slack
5,social media
6,excel
7,outlook
8,projects
9,security trading
10,portfolio managament
11,liability structuring  research
12,analysis
13,needs
14,risk-taking is encouraged
15,faculty
16,parents
17,child abuse
18,substance abuse
19,harassment
20,ela
21,programming
22,charts
23,excellent communication
24,conferences
25,conflict resolution
26,critical thinking
27,focus
28,instruction
29,lesson planning
30,managing
31,meetings
32,office
33,problem solving
34,processes
35,progress
36,teacher
37,time management
38,including running lights
39,county
40,behavior
41,state
42,microsoft word
43,state     educate children
44,state     answer phones
45,transferring support
46,take orders
47,stock deliveries
48,usa     child development
49,n  utritional needs
50,l  anguage acquisition
51,cultural influences
52,columbus
53,answer phones
54,verbal communication skills
55,enthusiasti c
56,problem-solve r
57,great organizational skills
58,encouraging
59,technology savvy
60,eager to learn
61,eager to teach
62,increase
63,training
64,coaching
65,clerical
66,filing
67,class
68,liaison
69,translate
70,mathematics
71,writing test
72,42 wpm
73,cpr
74,typing
75,chemistry
76,and physical science
77,college prep
78,ordered supplies
79,made appointments
80,including chemical monitoring
81,coagulation
82,immunology
83,weekly
84,influenza
85,and mononucleosis.  a
86,b
87,sickle cell determination
88,antigen typing
89,hematology
90,lesson plans
91,machinery
92,medical technology
93,urinalysis     mentoring
94,communication
95,social skills
96,biology
97,medical microbiology
98,managers
99,4th
100,assisted in inclusion
101,resource teachers
102,coordinating services
103,academics
104,classroom management
105,team building
106,support
107,technology
108,data collection
109,monitor progress
110,set next steps
111,job exploration counseling
112,self-advocacy
113,guiding case analysis
114,state      observed
115,evaluated
116,forming literacy circles
117,incorporating technology
118,data
119,minority
120,avenue
121,documentation
122,driving
123,functional
124,leadership
125,monitors
126,organizing
127,personnel
128,rehabilitation services
129,trainer
130,vi
131,vision
132,academic
133,delivery
134,equity
135,math
136,microsoft office
137,reporting
138,arts
139,coach
140,continuous improvement
141,council
142,educational programs
143,english
144,leadership training
145,mentor
146,policies
147,project mgmt
148,quality
149,reading
150,research
151,spanish
152,staff development
153,strategic
154,adobe photoshop
155,adobe premier
156,benefits
157,communication skills
158,curriculum development
159,flash
160,human resource
161,materials
162,powerpoint
163,microsoft words
164,needs assessment
165,peoplesoft
166,proposal writing
167,sales training
168,sound
169,supervisor
170,training material
171,training programs
172,course development
173,trouble shooting
174,corporate trainer
175,critical thinker
176,microsoft office (excel
177,publisher
178,word)
179,multi-line phone proficiency
180,advanced clerical knowledge
181,invoice processing
182,accounting familiarity
183,appointment setting
184,social media knowledge
185,accurate and detailed
186,customer service-oriented
187,articulate and well-spoken
188,database management
189,teaching/tutoring
190,technological instruction
191,effective
192,phonics
193,science
194,social studies
195,writing
196,songs/raps
197,assigning grades
198,taking attendance
199,recess duty
200,songs
201,vendors
202,organized
203,treasury
204,state      planned
205,documents
206,including vips
207,purchase orders
208,expense reports
209,researching chargebacks
210,budget
211,educator
212,access
213,organizational development
214,publisher)
215,internet browsers
216,eureka
217,& engage ny
218,small
219,fluency
220,word study station
221,tests
222,wilson reading
223,houghton mifflin
224,cmt prep
225,city
226,state   ncate endorsement
227,basic
228,book
229,content
230,in k
231,inspiration
232,inventory
233,word
234,next
235,non-fiction
236,speaking
237,scientific
238,structured
239,fall 2004
240,fall 2005
241,spring 2006
242,russian and hebrew.
243,linguistic
244,acute care
245,art
246,autism
247,biochemistry
248,fundraising
249,law
250,patient care
251,pediatrics
252,physical therapy
253,resuscitation
254,urology
255,temples
256,community
257,drama festival
258,water bottle collection
259,walk-a-thons
260,performances
261,socially
262,games
263,basic science
264,people skills
265,administrative
266,administrative support
267,budgets
268,contracts
269,database
270,financial reports
271,grants
272,leadership skills
273,lesson plan
274,windows
275,multi -tasking
276,internet research
277,payroll
278,philosophy
279,quickbooks
280,record keeping
281,recruiting
282,scheduling
283,team player
284,child care
285,family servicing
286,first aid
287,instructing
288,directing
289,mental health
290,management information system
291,program evaluation
292,protocols
293,maintain records
294,recruitment
295,safety
296,supervising
297,teaching and computing.
298,creative thinking
299,problem solver
300,phone
301,accounting
302,approach
303,attention to detail
304,back-up
305,cash handling
306,cash register
307,cashier
308,closing
309,cooking
310,credit
311,client
312,"customer
satisfaction"
313,customer service
314,fat
315,inventory management
316,microsoft excel
317,neat
318,pos
319,pricing
320,knowledge of store
321,retail
322,sales
323,tables
324,tops
325,written
326,photoshop
327,advertising
328,cancer
329,competitive
330,consultant
331,creative design
332,creative problem solving
333,client relations
334,direct mail
335,editing
336,government
337,illustrator
338,director
339,marketing plan
340,marketing
341,market
342,2000
343,presenter
344,producing
345,project management
346,public relations
347,public speaking
348,quick learner
349,radio
350,read
351,robotics
352,sales manager
353,scripts
354,speak spanish
355,technical writing
356,video
357,web site
358,edit
359,facsimile
360,notes
361,multi-tasking
362,office machines
363,organizational skills
364,photocopiers
365,scanners
366,switch
367,teamwork
368,telephones
369,type
370,typewriters
371,voice mail
372,workshops
373,motivation
374,management
375,listening
376,counseling
377,computer literacy
378,development
379,implementing
380,mo - il
381,microbiología
382,director general
383,directora
384,industrial
385,jefe de laboratorio
386,acta
387,bpm
388,c
389,carne de cerdo
390,carne porcina
391,control de calidad
392,data mining
393,farmacéutica
394,farmacéutico
395,iso
396,iso 9001
397,manipuladores
398,microbiologia
399,producción
400,programación
401,química
402,químico
403,sas
404,seguridad
405,toxicología
406,tutor
407,vigilancia
408,discharge planning
409,evaluate patients
410,anatomy
411,emr software
412,front office
413,injections
414,letters
415,medical terminology
416,physiology
417,ultra-sound
418,interpersonal skills
419,camera
420,microsoft office.
421,pakistan            skills     basic
422,express
423,fast learner
424,self-motivated
425,used  speaking
426,planning
427,leading
428,computer skills
429,communication with staff
430,microsoft works
431,grades
432,state       teaching 2
433,3
434,listening skills
435,state      customer service
436,computer data entry
437,works
438,data input
439,answering phone
440,grammar
441,interactive
442,whole word recognition
443,4
444,power point
445,counselor
446,native spanish speaker
447,time management.
448,microsoft office (word
449,outlook)
450,infinite campus
451,invoices
452,accounts payable
453,cash
454,of accounts
455,accountant
456,audits
457,billing
458,buying/procurement
459,general accounting
460,operations
461,payments
462,purchasing
463,receptionist
464,retail sales
465,accounts receivable
466,basis
467,data entry
468,assistant director
469,associate
470,aviation
471,budgeting
472,career development
473,credit card
474,executive assistant
475,fixed assets
476,maintenance
477,pipeline
478,reconciling
479,supply chain
480,the accounts
481,clerk
482,estimation
483,finance
484,with accounts
485,and accounting
486,audit
487,auditing
488,collection
489,financial report
490,healthcare
491,insurance billing
492,reconciliation
493,solutions
494,administrative assistant
495,disbursement
496,filings
497,legal documents
498,medicaid
499,quota
500,accounts payables
501,aol
502,banking
503,business works
504,clients
505,databases
506,email
507,financial
508,forms
509,funds
510,internet explorer
511,internet applications
512,invoicing
513,lotus
514,mediation
515,microsoft office 98
516,netscape navigator
517,peachtree
518,peachtree (accounting software
519,receiving
520,sap
521,shipping
522,telephone
523,tutoring
524,good team member
525,childcare
526,hiring
527,merchandising
528,selling
529,recording
530,flyers
531,state      teacher daycare
532,activities
533,music
534,lunches
535,.  activities
536,streamline
537,document management
538,fast
539,problem-solving
540,project coordination
541,proposals
542,proposal development
543,bookkeeping
544,english 3
545,english 4
546,mail
547,money
548,notary public
549,secretarial
550,tax
551,phones
552,arbitration
553,cpi
554,creative problem solver
555,customer services
556,insurance
557,law enforcement
558,team lead
559,logistics
560,ms word
561,page
562,sales development
563,differentiated instruction
564,technology integration
565,character development
566,smart board
567,ms word/powerpoint/excel
568,.  applied shampoo
569,massaged scalped
570,group activities
571,computer literate
